feat1,feat2,val
bpm,bpm,1.0
bpm,nrgy,0.126
bpm,dnce,-0.131
bpm,dB,0.184
bpm,live,0.082
bpm,val,0.016
bpm,dur,-0.029
bpm,acous,-0.113
bpm,spch,0.059
bpm,pop,0.019
nrgy,bpm,0.126
nrgy,nrgy,1.0
nrgy,dnce,0.167
nrgy,dB,0.538
nrgy,live,0.187
nrgy,val,0.41
nrgy,dur,-0.144
nrgy,acous,-0.562
nrgy,spch,0.107
nrgy,pop,-0.058
dnce,bpm,-0.131
dnce,nrgy,0.167
dnce,dnce,1.0
dnce,dB,0.233
dnce,live,-0.029
dnce,val,0.502
dnce,dur,-0.177
dnce,acous,-0.24
dnce,spch,-0.028
dnce,pop,0.116
dB,bpm,0.184
dB,nrgy,0.538
dB,dnce,0.233
dB,dB,1.0
dB,live,0.082
dB,val,0.283
dB,dur,-0.105
dB,acous,-0.19
dB,spch,-0.001
dB,pop,0.157
live,bpm,0.082
live,nrgy,0.187
live,dnce,-0.029
live,dB,0.082
live,live,1.0
live,val,0.02
live,dur,0.098
live,acous,-0.098
live,spch,0.144
live,pop,-0.076
val,bpm,0.016
val,nrgy,0.41
val,dnce,0.502
val,dB,0.283
val,live,0.02
val,val,1.0
val,dur,-0.262
val,acous,-0.249
val,spch,0.122
val,pop,0.039
dur,bpm,-0.029
dur,nrgy,-0.144
dur,dnce,-0.177
dur,dB,-0.105
dur,live,0.098
dur,val,-0.262
dur,dur,1.0
dur,acous,0.092
dur,spch,0.055
dur,pop,-0.104
acous,bpm,-0.113
acous,nrgy,-0.562
acous,dnce,-0.24
acous,dB,-0.19
acous,live,-0.098
acous,val,-0.249
acous,dur,0.092
acous,acous,1.0
acous,spch,0.003
acous,pop,0.027
spch,bpm,0.059
spch,nrgy,0.107
spch,dnce,-0.028
spch,dB,-0.001
spch,live,0.144
spch,val,0.122
spch,dur,0.055
spch,acous,0.003
spch,spch,1.0
spch,pop,-0.041
pop,bpm,0.019
pop,nrgy,-0.058
pop,dnce,0.116
pop,dB,0.157
pop,live,-0.076
pop,val,0.039
pop,dur,-0.104
pop,acous,0.027
pop,spch,-0.041
pop,pop,1.0
